activity_id,activity_name,activity_category,met_value,calories_per_kg_per_hour,intensity_level,is_cardio,equipment_needed,location,recommended_duration,recommended_frequency,diet_targets,calories_70kg_30min
12135,"Running, 14 mph (4.3 min/mile)",Running,23.0,23.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",805.0
12134,"Running, 13 mph (4.6 min/mile)",Running,19.8,19.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",693.0
12186,"Running, on track, 2000-3000m, competitive",Running,19.3,19.3,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",675.5
12132,"Running, 12 mph (5.0 min/mile)",Running,18.5,18.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",647.5
12184,"Running, on track, 500-1500m, competitive",Running,18.0,18.0,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",630.0
2084,"Ski ergometer, cross country, double poling, fast to maximum speed",Ski ergometer,18.0,18.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",630.0
11250,"Forestry, ax chopping, very fast, 1.25 kg axe,  51 blows/min, extremely vigorous effort ",Forestry,17.5,17.5,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",612.5
12325,"Running uphill, 5.0 to 5.9 mph, 15% incline",Running,17.5,17.5,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",612.5
1060,"Bicycling, >20 mph, racing, not drafting",Cycling,16.8,16.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",588.0
12130,"Running, 11 mph (5.5 min/mile)",Running,16.8,16.8,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",588.0
12416,"Running curved treadmill, 9.0 to 9.9 mph",Running,16.8,16.8,Berat,True,Treadmill,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",588.0
1248,"Bicycling, stationary, >325 watts, very vigorous",Cycling,16.3,16.3,Berat,True,Stationary bike,Indoor,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",570.5
17040,"Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph",Climbing hills,16.3,16.3,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",570.5
12345,"Running uphill, >1.6mph, 10-30% incline",Running,16.3,16.3,Berat,True,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, cardiovascular_health, muscle_tone",570.5
19112,"Skiing, cross country, 12-16 mph, elite skier, racing",Skiing,16.0,16.0,Berat,False,None,Both,15-30 menit,2-3 kali/minggu,"weight_loss, muscle_tone",560.0
