name,calories,calories,protein,fat,carbohydrate,fiber,sodium,portion_size,serving_unit,food_category,allergens,glycemic_index
Hummus,0.0,0.0,0.0,19.0,0.0,0.0,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,0.0,0.0,0.0,446.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,18.7,0.0,0.0,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,0.0,0.0,0.0,444.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,16.6,0.0,0.0,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,0.0,0.0,0.0,387.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,19.1,0.0,0.0,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,0.0,0.0,0.0,489.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,18.2,0.0,0.0,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,0.0,0.0,0.0,428.0,,,Uncategorized,None,0
Hummus - NFY12140Q,0.0,0.0,0.0,0.0,0.0,5.7,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,18.0,0.0,0.0,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,0.0,0.0,0.0,406.0,,,Uncategorized,None,0
Hummus - NFY12141F,0.0,0.0,0.0,0.0,0.0,5.4,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,18.2,0.0,0.0,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,0.0,0.0,0.0,423.0,,,Uncategorized,None,0
Hummus - NFY1213ZX,0.0,0.0,0.0,0.0,0.0,5.5,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,14.8,0.0,0.0,0.0,,,Uncategorized,None,0
Hummus,0.0,0.0,0.0,0.0,0.0,0.0,450.0,,,Uncategorized,None,0
Hummus - NFY12143E,0.0,0.0,0.0,0.0,0.0,5.7,0.0,,,Uncategorized,None,0
